1036414253425672193;Mi mamá: Si te llegas a ir del país, vas a saber lo dura que es la vida, porque ni siquiera te dignas a fregar las cosas que usas.;NON_SEXIST
1056979184390553600;"@BraulioC Jaja. Ayay. Cuáles son los atributos para ser ""chica mala""? Si cumplo con alguno, sería entonces ""señora mala"".";NON_SEXIST
1067395010059018240;Se me ha caído una taza de Superman que le regale a mi pareja y se ha roto en tres partes. Estoy llorando como una niña chica por esto. 😭😭;NON_SEXIST
1043233850846076928;Por si alguién no se ha enterado, Suso se ha puesto la tarea de lavar cacharrería. Cansino, petardo, ni que hubiera… https://t.co/kE4I0izanY;NON_SEXIST
1060676161058103297;Koalita tenía a su amiga Míriam ayudándole en el tema de las comidas cuando decidieron ambos separarse de la cocina… https://t.co/89kcR26lBE;NON_SEXIST
1032825767078580225;La debilidad de las mujeres de hoy en día. https://t.co/NrFpSqL3Ea;DOUBTFUL
1049428000029196288;"Cada vez más odio las mentiras.
La gente zorra me pone de los pelos 🙄";DOUBTFUL
1027260780637351936;“El cielo no tiene rabia, como el amor convertido en odio, ni el infierno furia, como una mujer despreciada.”;NON_SEXIST
1052665573010751502;@oviedohec En serio pio? 😒 porque sos nenaza es jajaja;SEXIST
1024794424252030976;Los blancos y tonos claros aportan a la cocina claridad y una sensación acogedora. Además el blanco siempre combina… https://t.co/nJ64LuJXLL;NON_SEXIST
1053700712100716546;@AngeldebritoOk Es una marimacho con actitudes masculinas y con una cara llena de odio .;NON_SEXIST
1015249783408164864;"En el libro sobre las mujeres que estoy leyendo aprendí algunas cosas:

1. En Argentina las mujeres feministas exis… https://t.co/RIV4Lbr9AI";NON_SEXIST
1050864924367433729;@Ana_Torroja Menudo coñazo, Peleas como una mujer! Ese trabajo es de hombres, no seas nenaza... Estas son algunas d… https://t.co/j9oDezrAB5;SEXIST
1036912874113916928;@Amaier100 @stoph1122 @lauramd116 @Ceperoi1 @naiblackk @NuestraIslaRM @Top50Oficial @Aitana_ot2017 @Cepeda_ot2017 1… https://t.co/Qs9yJfyEDr;NON_SEXIST
1042499657346293760;Ayer una amiga me dijo que yo hablo muy correcto, como una niña correcta y me sentí como la mismísima Mary Poppins https://t.co/gbOmFScQiB;NON_SEXIST
1015620442810445825;"-Sos una desubicada.
-No te podes vestir asi.
-¿Vos querés provocar? 
-¡Sos una rebelede!
-Te gusta llamar la atenc… https://t.co/o72yQhiKWb";SEXIST
1015422019943501824;"#RizhomaHotel ""PARECES UNA PUTA POR QUE PASAS ACÁ. SI VENÍS A TRABAJAR TE HUBIERAS QUEDADO EN LA PUERTA""";SEXIST
1040026182991994880;"@Gestionpe Mujer al volante peligro constante. 
Hombre al volante version alucinada de rapidos y furiosos.";SEXIST
